Time,Agebin,Clone ID,Frequency
210,2091,22254,1
210,2091,318164,1
210,2091,608083,1
210,2091,320809,1
210,2091,340640,1
210,2091,354859,2
210,2091,397323,1
210,2091,431586,1
210,2091,378230,3
210,2091,361593,2
210,2091,525042,1
210,2091,473514,2
210,2091,433128,1
210,2091,785157,1
210,2091,152062,1
210,2091,470324,1
210,2091,645363,1
210,2091,323799,1
210,2091,508330,5
210,2091,511132,1
210,2091,22313,1
210,2091,134454,1
210,2091,516724,1
210,2090,977234,1
210,2090,975784,1
210,2090,971699,1
210,2090,934927,1
210,2090,926129,1
210,2090,896077,1
210,2090,918162,1
210,2090,888190,4
210,2090,878401,2
210,2090,874359,3
210,2090,858002,2
210,2090,829433,1
210,2090,813541,1
210,2090,806463,1
210,2090,863459,1
210,2090,806436,1
210,2090,775604,1
210,2090,762439,1
210,2090,756211,1
210,2090,925219,1
210,2090,810030,1
210,2090,714653,1
210,2090,843698,1
210,2090,705903,1
210,2090,699933,2
210,2090,691570,1
210,2090,683495,2
210,2090,943988,3
210,2090,669668,1
210,2090,700131,1
210,2090,665968,2
210,2090,635896,1
210,2090,614680,1
210,2090,880820,1
210,2090,574242,1
210,2090,879896,1
210,2090,570016,1
210,2090,666834,1
210,2090,566885,1
210,2090,559893,1
210,2090,799864,1
210,2090,545229,2
210,2090,544649,1
210,2090,536765,1
210,2090,510429,1
210,2090,531712,1
210,2090,506947,1
210,2090,477432,1
210,2090,238072,1
210,2090,887659,2
210,2090,741101,1
210,2090,713288,1
210,2090,21011,1
210,2090,583905,1
210,2090,377530,1
210,2090,205987,1
210,2090,186557,1
210,2090,787360,1
210,2090,220305,2
210,2090,100712,1
210,2090,149604,1
210,2090,852713,1
210,2090,730031,1
210,2090,233334,1
210,2090,266481,1
210,2090,293090,2
210,2090,5053,14
210,2090,585431,1
210,2090,121246,2
210,2090,344089,1
210,2090,965268,2
210,2090,63060,1
210,2090,27373,1
210,2090,650251,1
210,2090,619263,1
210,2090,98309,2
210,2090,217155,1
210,2090,101585,1
210,2090,990106,1
210,2090,186958,1
210,2090,26154,1
210,2090,246463,2
210,2090,324933,1
210,2090,103754,1
210,2090,303174,1
210,2090,827470,1
210,2090,58485,1
210,2090,139620,13
210,2090,643894,1
210,2090,102239,1
210,2090,85535,1
210,2090,292271,1
210,2090,68764,1
210,2090,275974,1
210,2090,531049,2
210,2090,335977,1
210,2090,709826,1
210,2090,12215,1
210,2090,99737,1
210,2090,307063,1
210,2090,323170,1
210,2090,470986,1
210,2090,280486,2
210,2090,276276,1
210,2090,443916,1
210,2090,290847,1
210,2090,426772,1
210,2090,252669,2
210,2090,442407,4
210,2090,679422,2
210,2090,328521,1
210,2090,337896,1
210,2090,109600,1
210,2090,224408,2
210,2090,427989,2
210,2090,395817,1
210,2090,479924,2
210,2090,420361,1
210,2090,301928,1
210,2090,398321,1
210,2090,405970,1
210,2090,448360,1
210,2090,119186,1
210,2090,454085,1
210,2090,390387,1
210,2090,454776,1
210,2089,988657,1
210,2089,972261,1
210,2089,958338,1
210,2089,951361,1
210,2089,951274,1
210,2089,919935,1
210,2089,904008,1
210,2089,886403,1
210,2089,886196,2
210,2089,940694,1
210,2089,865891,1
210,2089,855664,1
210,2089,844294,2
210,2089,826688,1
210,2089,791906,2
210,2089,773339,2
210,2089,731952,1
210,2089,704469,1
210,2089,892431,1
210,2089,704217,2
210,2089,702155,1
210,2089,678206,1
210,2089,670829,1
210,2089,762168,1
210,2089,666029,1
210,2089,651567,1
210,2089,193810,1
210,2089,326088,1
210,2089,103802,1
210,2089,987706,1
210,2089,137441,1
210,2089,132807,1
210,2089,114033,1
210,2089,205548,1
210,2089,220780,1
210,2089,121593,2
210,2089,740153,2
210,2089,348231,2
210,2089,34180,1
210,2089,194650,2
210,2089,39210,2
210,2089,107090,2
210,2089,469822,1
210,2089,49458,2
210,2089,311001,1
210,2089,60572,1
210,2089,59012,2
210,2089,345778,1
210,2089,721089,1
210,2089,192007,1
210,2089,563736,1
210,2089,501125,2
210,2089,213346,1
210,2089,558532,2
210,2089,68294,1
210,2089,267950,1
210,2089,899232,1
210,2089,94433,1
210,2089,232394,1
210,2089,776571,1
210,2089,229963,1
210,2089,103344,1
210,2089,938491,1
210,2089,887310,1
210,2089,559650,1
210,2089,738112,1
210,2089,104636,1
210,2089,584601,1
210,2089,74921,2
210,2089,247133,1
210,2089,533814,1
210,2089,966647,1
210,2089,106222,1
210,2089,781540,1
210,2089,113647,2
210,2089,257030,2
210,2089,684059,1
210,2089,298995,1
210,2089,329915,1
210,2089,330750,1
210,2089,339426,1
210,2089,357812,1
210,2089,368204,1
210,2089,821502,1
210,2089,401767,2
210,2089,400116,1
210,2089,723669,2
210,2089,472590,1
210,2089,496100,2
210,2089,637818,1
210,2089,41492,1
210,2089,514313,1
210,2089,128001,1
210,2089,289672,1
210,2089,531226,2
210,2089,562391,1
210,2089,569432,1
210,2089,588472,2
210,2088,955184,1
210,2088,951317,1
210,2088,986917,1
210,2088,950849,2
210,2088,934686,2
210,2088,930407,1
210,2088,919755,1
210,2088,904336,1
210,2088,900927,2
210,2088,893357,1
210,2088,858473,1
210,2088,857515,2
210,2088,833810,1
210,2088,944328,16
210,2088,815169,1
210,2088,993749,1
210,2088,802360,1
210,2088,751281,1
210,2088,727145,2
210,2088,726365,1
210,2088,725206,1
210,2088,690834,1
210,2088,210814,1
210,2088,270758,1
210,2088,160015,1
210,2088,385286,2
210,2088,422497,2
210,2088,258328,2
210,2088,593330,1
210,2088,383120,1
210,2088,785479,1
210,2088,219821,1
210,2088,764080,1
210,2088,422958,2
210,2088,295099,1
210,2088,639092,1
210,2088,904639,1
210,2088,176421,2
210,2088,121430,2
210,2088,396075,3
210,2088,167437,1
210,2088,136472,1
210,2088,66828,1
210,2088,491770,1
210,2088,530509,2
210,2088,513364,1
210,2088,129570,3
210,2088,113520,3
210,2088,132697,1
210,2088,391649,1
210,2088,39986,1
210,2088,130321,1
210,2088,938342,1
210,2088,423230,1
210,2088,244193,1
210,2088,164691,19
210,2088,428216,1
210,2088,802076,1
210,2088,429204,2
210,2088,446999,1
210,2088,468869,1
210,2088,194220,1
210,2088,644689,2
210,2088,476932,1
